company_name,role,opportunity_type,application_start_date,application_end_date,skills,experience_required,job_portal_name,application_link,location,salary,description,company_rating,posted_date,scraped_at
Deloitte Consulting,Analyst/ Consultant | Data Analyst,Full-time,,,"Computer science, Data management, Performance management, Consulting, Workflow, Business intelligence, Information technology, Analytics",2-7 Yrs,Naukri.com,https://www.naukri.com/job-listings-analyst-consultant-data-analyst-deloitte-pune-2-to-7-years-091025502279,Pune,N/A,"Relevant years of experience as a Data Engineer, with at least 60% of experience focusi...",N/A,N/A,10-10-2025 00:40
Lenskart,Data Analyst,Full-time,,,"PowerBI, Data Visualization, SQL, Tableau, Data Analytics, Python, Data analysis, Power Bi",3-6 Yrs,Naukri.com,https://www.naukri.com/job-listings-data-analyst-lenskart-bengaluru-3-to-6-years-081025934459,Bengaluru,N/A,What You Will Do Work closely with teams across the company to understand their data r...,N/A,N/A,10-10-2025 00:40
Lenskart,Data Analyst,Full-time,,,"PowerBI, Data Visualization, SQL, Tableau, Data Analytics, Python, Data analysis, Power Bi",3-6 Yrs,Naukri.com,https://www.naukri.com/job-listings-data-analyst-lenskart-gurugram-3-to-6-years-081025934457,Gurugram,N/A,What You Will Do Work closely with teams across the company to understand their data r...,N/A,N/A,10-10-2025 00:40
JPMorgan Chase Bank,Client Data Analyst,Full-time,,,"Operational risk, Compliance, Data collection, Workflow, Data Analyst, Management, MS Office, banking products",0-7 Yrs,Naukri.com,https://www.naukri.com/job-listings-client-data-analyst-jp-morgan-chase-bengaluru-0-to-7-years-260925503544,Bengaluru,N/A,Support all aspects of client onboarding to include the fulfillment of AML and KYC requ...,N/A,N/A,10-10-2025 00:40
HotelHub,Data Analyst,Full-time,,,"SQL Queries, Data Extraction, Data Analyst, MySQL, ETL, Data Transformation, Data Validation, Business Intelligence",2-6 Yrs,Naukri.com,https://www.naukri.com/job-listings-data-analyst-hotelhub-bengaluru-2-to-6-years-081025922817,Bengaluru,10-12 Lacs PA,Experience working with large-scale datasets or in a fast-paced analytical environment....,N/A,N/A,10-10-2025 00:40
CHIREC,Data Analyst,Full-time,,,"database maintenance, python, data analytics, data analysis, data mining, predictive analytics, business analysis, power bi",1-6 Yrs,Naukri.com,https://www.naukri.com/job-listings-data-analyst-chirec-hyderabad-1-to-6-years-071025503112,Hyderabad,N/A,Developing and maintaining predictive models to forecast business outcomes . Disclaimer...,N/A,N/A,10-10-2025 00:40
ABB,Data Analyst,Full-time,,,"power query, power bi dashboards, visual basic, etl, sql database, snowflake, data analytics, data analysis",5-7 Yrs,Naukri.com,https://www.naukri.com/job-listings-data-analyst-abb-india-limited-bengaluru-5-to-7-years-031025919514,Bengaluru,N/A,Qualifications for the role: . B E / BTech (CS / EC/EE / ME/IT) or MBA graduate 7 years...,N/A,N/A,10-10-2025 00:40
Schwing Stetter,Data Analyst,Full-time,,,"six sigma, project management, data analysis, oracle, sap, data analytics, analytical, verbal communication",2-5 Yrs,Naukri.com,https://www.naukri.com/job-listings-data-analyst-schwing-stetter-india-private-limited-sriperumbudur-2-to-5-years-081025021337,Sriperumbudur,N/A,"Education: Bachelors degree in Engineering, Business, Supply Chain Management, Data Ana...",N/A,N/A,10-10-2025 00:40
Fanatic Sports,Data Researcher and Analyst,Full-time,,,"master data, metadata, python, data analysis, data management, data analytics, configuration, data mining",0-3 Yrs,Naukri.com,https://www.naukri.com/job-listings-data-researcher-and-analyst-fanatic-sports-private-limited-mumbai-0-to-3-years-081025502655,Mumbai,N/A,Disclaimer: This job description has been sourced from a public domain and may have bee...,N/A,N/A,10-10-2025 00:40
Sarvodaya Hospital,Data Analyst,Full-time,,,"Advanced Excel, Excel, Power Bi, Data Interpretation, Data Analysis, Data Visualization, Data Cleansing, Data Analytics",2-5 Yrs,Naukri.com,https://www.naukri.com/job-listings-data-analyst-sarvodaya-hospital-faridabad-2-to-5-years-091025030505,Faridabad,N/A,"Roles and ResponsibilitiesCollect data from various sources, cleanse it, and transform ...",N/A,N/A,10-10-2025 00:40
